system:index,active_proportion,activity_label,alert_id,classification,count,label,n_active,n_coca,n_forest,n_historical,n_pixels,region,threat_level,.geo
+3236+5650,0.0,HISTORICAL DISTURBANCE: Abandoned site — possible Illegal gold mining,+3236+5650,1,1,1,0,0,1,44,45,Madre de Dios,MEDIUM,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.46322663991823,-12.011014337848474]}"
+3236+5666,0.022222222222222223,HISTORICAL DISTURBANCE: Abandoned site — possible Illegal gold mining,+3236+5666,1,1,1,1,0,4,40,45,Madre de Dios,MEDIUM,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.46322663991823,-12.082879560578037]}"
+3236+5724,0.0,HISTORICAL DISTURBANCE: Abandoned site — possible Illegal gold mining,+3236+5724,1,6,1,0,8,0,38,46,Madre de Dios,MEDIUM,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.45873506349764,-12.337402224411901]}"
+3236+5784,0.0,LOW RISK: Intact forest or RADD false positive,+3236+5784,0,1,1,0,0,45,0,45,Madre de Dios,LOW,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.46322663991823,-12.612885578208553]}"
+3237+5544,0.0,HISTORICAL DISTURBANCE: Abandoned site — possible Illegal gold mining,+3237+5544,1,1,1,0,0,0,45,45,Madre de Dios,MEDIUM,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.45873506349764,-11.534907237265129]}"
+3237+5563,0.0,COCA CULTIVATION detected — illegal narcotics production in protected area,+3237+5563,3,13,1,0,29,17,0,46,Madre de Dios,HIGH,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.45424348707704,-11.607463471751705]}"
+3237+5594,0.0,LOW RISK: Intact forest or RADD false positive,+3237+5594,0,1,1,0,0,45,0,45,Madre de Dios,LOW,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.45873506349764,-11.759486058295009]}"
+3237+5637,0.3469387755102041,HISTORICAL DISTURBANCE: Abandoned site — possible Illegal gold mining,+3237+5637,1,3,1,17,0,14,18,49,Madre de Dios,MEDIUM,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.46023225563783,-11.949629460100306]}"
+3237+5692,0.0,LOW RISK: Intact forest or RADD false positive,+3237+5692,0,1,1,0,0,36,9,45,Madre de Dios,LOW,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.45873506349764,-12.199660547513576]}"
+3237+5702,0.20833333333333334,COCA CULTIVATION detected — illegal narcotics production in protected area,+3237+5702,3,2,1,10,25,0,13,48,Madre de Dios,HIGH,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.46098085170793,-12.24457631171955]}"
+3237+5742,1.0,HIGH CONFIDENCE: Active Illegal gold mining,+3237+5742,2,8,1,19,0,0,0,19,Madre de Dios,CRITICAL,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.46547242812854,-12.412448980439388]}"
+3238+5609,0.0,LOW RISK: Intact forest or RADD false positive,+3238+5609,0,1,1,0,0,45,0,45,Madre de Dios,LOW,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.45424348707704,-11.826859704603974]}"
+3238+5644,0.0,LOW RISK: Intact forest or RADD false positive,+3238+5644,0,27,1,0,0,45,0,45,Madre de Dios,LOW,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.45208087620786,-11.967928475147188]}"
